,date_50%,growth_rate,doubling_time,transmission_increase
estimate,2021-12-18,0.49619737727231294,1.3969182674247518,2.729085574997721
lower,2021-12-21,0.4574407658817553,1.5152719920443605,2.5159242123496544
upper,2021-12-16,0.5349539886628706,1.2957136412656387,2.942246937645788
